nodes_reporting_id,id,parent_node_id,unique_id,name,active,folder_id,node_type_id,archive_number,metadata,created_at,updated_at,csv_errors,heartbeat,application_id,device_location,device_location_note,vendor_device_id,vendor_id,order_status,functionName,functionVersion,iccid,model
334,11154,11154,mnt-130516,Open Case Refrigerator Next to 5 Door - Humidity - HRT,False,5237,183,0,"{""Heartbeat"":""15"",""application_id"":""43"",""device_location"":""Open Case Refrigerator Near 5 Door"",""device_location_note"":"""",""vendor_device_id"":""130516"",""vendor_id"":""2""}",2018-01-26 16:18:24,2018-11-02 21:08:35,,15,43,Open Case Refrigerator Near 5 Door,,130516,2,,,,,
335,11155,11155,mnt-130518,Hot Water Heater 2 - Water,True,5237,188,0,"{""Heartbeat"":""120"",""application_id"":""4"",""device_location"":""Next to Produce Walk In"",""device_location_note"":"""",""vendor_device_id"":""130518"",""vendor_id"":""2""}",2018-01-26 16:18:24,2018-11-02 21:08:36,,120,4,Next to Produce Walk In,,130518,2,,,,,
336,11156,11156,mnt-130519,Hot Water Heater 1 - Water,True,5237,188,0,"{""Heartbeat"":""120"",""application_id"":""4"",""device_location"":""Next to Mechanical Equipment and Water Main Water Sensor"",""device_location_note"":"""",""vendor_device_id"":""130519"",""vendor_id"":""2""}",2018-01-26 16:18:25,2018-11-02 21:08:36,,120,4,Next to Mechanical Equipment and Water Main Water Sensor,,130519,2,,,,,
337,11157,11157,mnt-131739,Water Main - Vibration,False,5237,193,0,"{""Heartbeat"":""15"",""application_id"":""95"",""device_location"":""Water Main "",""device_location_note"":"""",""vendor_device_id"":""131739"",""vendor_id"":""2""}",2018-01-26 16:18:25,2018-11-02 21:08:37,,15,95,Water Main ,,131739,2,,,,,
338,11158,11158,mnt-138806,Meat Case by Bread - Humidity - HRT,True,5237,183,0,"{""Heartbeat"":""15"",""application_id"":""43"",""device_location"":""Meat Case by Bread"",""device_location_note"":"""",""vendor_device_id"":""138806"",""vendor_id"":""2""}",2018-01-26 16:18:25,2018-11-02 21:08:37,,15,43,Meat Case by Bread,,138806,2,,,,,
339,11159,11159,mnt-140660,Hot Water Heater 2 - Output Temperature - WDT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Upright Freezer Next to Chest Freezer by Sink"",""device_location_note"":""\u003cp\u003e\r\n\tS-3\u003c/p\u003e\r\n"",""vendor_device_id"":""140660"",""vendor_id"":""2""}",2018-01-26 16:18:25,2018-11-02 21:08:38,,15,2,Upright Freezer Next to Chest Freezer by Sink,"<p>
	S-3</p>
",140660,2,,,,,
340,11160,11160,mnt-145184,Open Case - Temperature - WRT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Open Case"",""device_location_note"":""\u003cp\u003e\r\n\tNot yet installed\u003c/p\u003e\r\n"",""vendor_device_id"":""145184"",""vendor_id"":""2""}",2018-01-26 16:18:26,2018-11-02 21:08:38,,15,2,Open Case,"<p>
	Not yet installed</p>
",145184,2,,,,,
341,11161,11161,mnt-153366,5 Door Freezer - Temperature - WFT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""5 Door Freezer"",""device_location_note"":""\u003cp\u003e\r\n\tNot yet installed\u003c/p\u003e\r\n"",""vendor_device_id"":""153366"",""vendor_id"":""2""}",2018-01-26 16:18:26,2018-11-02 21:08:39,,15,2,5 Door Freezer,"<p>
	Not yet installed</p>
",153366,2,,,,,
342,11162,11162,mnt-178669,Ice Cream Case (Left of Open Case) - Temperature - WRT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Meat Case"",""device_location_note"":"""",""vendor_device_id"":""178669"",""vendor_id"":""2""}",2018-01-26 16:18:26,2018-11-02 21:08:39,,15,2,Meat Case,,178669,2,,,,,
343,11163,11163,mnt-179696,Soda/Beverage Case - Temperature - WRT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Dairy Case"",""device_location_note"":""\u003cp\u003e\r\n\tNot yet installed\u003c/p\u003e\r\n"",""vendor_device_id"":""179696"",""vendor_id"":""2""}",2018-01-26 16:18:27,2018-11-02 21:08:40,,15,2,Dairy Case,"<p>
	Not yet installed</p>
",179696,2,,,,,
344,11164,11164,mnt-84252,Hot Water Heater 1 - Output Temperature - WDT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Hot Water Heater 1 Output"",""device_location_note"":"""",""vendor_device_id"":""84252"",""vendor_id"":""2""}",2018-01-26 16:18:27,2018-11-02 21:08:40,,15,2,Hot Water Heater 1 Output,,84252,2,,,,,
345,11165,11165,mnt-86954,Bread Freezer - Temperature - WFT,True,5237,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""To the left of the door, but electrical boxes"",""device_location_note"":"""",""vendor_device_id"":""86954"",""vendor_id"":""2""}",2018-01-26 16:18:27,2018-11-02 21:08:41,,15,2,"To the left of the door, but electrical boxes",,86954,2,,,,,
346,11166,11166,mnt-114435,Gateway - 114435,True,5313,187,0,"{""Heartbeat"":""15"",""application_id"":""0"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""114435"",""vendor_id"":""2""}",2018-01-26 16:18:29,2018-02-13 21:56:10,,15,0,,,114435,2,,,,,
347,11167,11166,mnt-86020,Water Detection Sensor - 86020,True,5313,188,0,"{""Heartbeat"":""15"",""application_id"":""4"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""86020"",""vendor_id"":""2""}",2018-01-26 16:18:29,2018-02-13 21:56:10,,15,4,,,86020,2,,,,,
348,11168,11166,mnt-86924,Pipe Temperature Sensor - 86924,True,5313,182,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""86924"",""vendor_id"":""2""}",2018-01-26 16:18:29,2018-02-13 21:56:11,,15,2,,,86924,2,,,,,
349,11169,11166,mnt-98962,Room Temperature Sensor - 98962,True,5313,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""98962"",""vendor_id"":""2""}",2018-01-26 16:18:30,2018-02-13 21:56:11,,15,2,,,98962,2,,,,,
350,11170,11170,mnt-109698,g1,True,5314,187,0,"{""Heartbeat"":""10"",""application_id"":""0"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""109698"",""vendor_id"":""2""}",2018-01-26 16:18:30,2018-02-13 21:56:12,,10,0,,,109698,2,,,,,
351,11171,11170,mnt-130526,w1,True,5314,188,0,"{""Heartbeat"":""120"",""application_id"":""4"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""130526"",""vendor_id"":""2""}",2018-01-26 16:18:30,2018-02-13 21:56:12,,120,4,,,130526,2,,,,,
352,11172,11198,mnt-124351,aS-1 - TEMPERATURE CHANGE BARE PROBE - RT,True,5315,177,0,"{""Heartbeat"":""10"",""application_id"":""2"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""124351"",""vendor_id"":""2""}",2018-01-26 16:18:42,2018-02-13 21:56:12,,10,2,,,124351,2,,,,,
353,11173,11198,mnt-127118,Emergency Exit Fire Piping - Probe,True,5156,182,0,"{""Heartbeat"":""10"",""application_id"":""2"",""device_location"":""Emergency exit fire piping"",""device_location_note"":""Exit is from Great Escape room, but hard to find.  From the 2nd floor inside Great Escape,  find a hallway door to the east side.  Go into the hallway, and then take a right, and that door leads to another hallway.  Down the stairs is the exit door.  "",""vendor_device_id"":""127118"",""vendor_id"":""2""}",2018-01-26 16:18:43,2019-01-17 20:19:08,,10,2,Emergency exit fire piping,"Exit is from Great Escape room, but hard to find.  From the 2nd floor inside Great Escape,  find a hallway door to the east side.  Go into the hallway, and then take a right, and that door leads to another hallway.  Down the stairs is the exit door.  ",127118,2,,,,,
354,11174,11198,mnt-141773,__A4,False,5315,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141773"",""vendor_id"":""2""}",2018-01-26 16:18:43,2018-03-13 16:30:27,,10,95,,,141773,2,,,,,
355,11175,11198,mnt-141782,__A3,False,5315,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141782"",""vendor_id"":""2""}",2018-01-26 16:18:43,2018-03-13 16:30:46,,10,95,,,141782,2,,,,,
356,11176,11198,mnt-141786,__A7,False,5315,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141786"",""vendor_id"":""2""}",2018-01-26 16:18:43,2018-03-13 16:30:48,,10,95,,,141786,2,,,,,
357,11177,11198,mnt-141834,S-03 - Probed Temp - FT,True,5315,177,0,"{""Heartbeat"":""10"",""application_id"":""2"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141834"",""vendor_id"":""2""}",2018-01-26 16:18:44,2018-02-13 21:56:15,,10,2,,,141834,2,,,,,
358,11178,11198,mnt-141835,S-08 - Refrigerator Water Temp,True,5315,182,0,"{""Heartbeat"":""10"",""application_id"":""65"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141835"",""vendor_id"":""2""}",2018-01-26 16:18:44,2018-02-13 21:56:15,,10,65,,,141835,2,,,,,
359,11179,11198,mnt-141836,S-02 - Freezer Water Temp,True,5315,182,0,"{""Heartbeat"":""10"",""application_id"":""65"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141836"",""vendor_id"":""2""}",2018-01-26 16:18:45,2018-02-13 21:56:16,,10,65,,,141836,2,,,,,
360,11180,11198,mnt-141855,__A1,False,5315,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141855"",""vendor_id"":""2""}",2018-01-26 16:18:45,2018-03-13 16:31:03,,10,95,,,141855,2,,,,,
361,11181,11198,mnt-141860,__A6,False,5315,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141860"",""vendor_id"":""2""}",2018-01-26 16:18:45,2018-03-13 16:31:06,,10,95,,,141860,2,,,,,
362,11182,11198,mnt-141868,__A5,False,5315,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141868"",""vendor_id"":""2""}",2018-01-26 16:18:45,2018-03-13 16:31:08,,10,95,,,141868,2,,,,,
363,11183,11198,mnt-141870,__A2,False,5315,193,0,"{""Heartbeat"":""10"",""application_id"":""95"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""141870"",""vendor_id"":""2""}",2018-01-26 16:18:46,2018-03-13 16:31:13,,10,95,,,141870,2,,,,,
364,11184,11198,mnt-148097,__Antenna Test Button,True,5315,179,0,"{""Heartbeat"":""120"",""application_id"":""11"",""device_location"":""Left of Door"",""device_location_note"":""\u003cp\u003e\r\n\tS-1\u003c/p\u003e\r\n"",""vendor_device_id"":""148097"",""vendor_id"":""2""}",2018-01-26 16:18:46,2018-02-13 21:56:18,,120,11,Left of Door,"<p>
	S-1</p>
",148097,2,,,,,
365,11185,11198,mnt-162051,_AL TEST SENSOR,True,5315,188,0,"{""Heartbeat"":""10"",""application_id"":""4"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""162051"",""vendor_id"":""2""}",2018-01-26 16:18:46,2018-02-13 21:56:19,,10,4,,,162051,2,,,,,
366,11186,11198,mnt-177536,Probeless,True,5315,188,0,"{""Heartbeat"":""15"",""application_id"":""4"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""177536"",""vendor_id"":""2""}",2018-01-26 16:18:47,2018-02-13 21:56:19,,15,4,,,177536,2,,,,,
367,11187,11198,mnt-195848,Humidity - 195848,True,5315,183,0,"{""Heartbeat"":""120"",""application_id"":""43"",""device_location"":""Suite A 132 Farmington Chase Crescent, Farmington CT 06032"",""device_location_note"":"""",""vendor_device_id"":""195848"",""vendor_id"":""2""}",2018-01-26 16:18:47,2018-02-13 21:56:20,,120,43,"Suite A 132 Farmington Chase Crescent, Farmington CT 06032",,195848,2,,,,,
368,11188,11198,mnt-203863,"DoT Clement Recep. Temperature - Walk In Refrigerator, Outside - 203863",True,5315,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Walk In Refrigerator, Outside"",""device_location_note"":"""",""vendor_device_id"":""203863"",""vendor_id"":""2""}",2018-01-26 16:18:47,2018-02-13 21:56:20,,15,2,"Walk In Refrigerator, Outside",,203863,2,,,,,
369,11189,11198,mnt-300429,Probe 3,True,5315,188,0,"{""Heartbeat"":""15"",""application_id"":""4"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""300429"",""vendor_id"":""2""}",2018-01-26 16:18:47,2018-02-13 21:56:21,,15,4,,,300429,2,,,,,
370,11190,11198,mnt-300430,Probe 2,True,5315,188,0,"{""Heartbeat"":""120"",""application_id"":""4"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""300430"",""vendor_id"":""2""}",2018-01-26 16:18:48,2018-02-13 21:56:21,,120,4,,,300430,2,,,,,
371,11191,11198,mnt-300435,Probe 1,True,5315,188,0,"{""Heartbeat"":""120"",""application_id"":""4"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""300435"",""vendor_id"":""2""}",2018-01-26 16:18:48,2018-02-13 21:56:22,,120,4,,,300435,2,,,,,
